129.31.73.50 - - [06/Oct/2009:16:00:34 +0000] "GET / HTTP/1.1" 200 37877 "http://www.google.co.uk/search?sourceid=navclient&ie=UTF-8&rlz=1T4SNYS_enGB342GB343&q=imperial+union" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618)"
129.31.217.193 - - [06/Oct/2009:16:00:34 +0000] "GET /login.html?requestedUrl=%2Fevents-tickets-296%2Ffreshers-ball-2009-1414%2Fproduct.html HTTP/1.1" 200 212 "http://www.imperialcollegeunion.com/events-tickets-296/freshers-ball-2009-1414/product.html" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/3.0.195.24 Safari/532.0"
129.31.68.69 - - [06/Oct/2009:16:00:36 +0000] "GET /login.html?requestedUrl=%2F HTTP/1.1" 200 212 "http://www.imperialcollegeunion.org/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618)"
129.31.73.50 - - [06/Oct/2009:16:00:38 +0000] "GET /unions/home-news.vm?id=com.othermedia.imperial.model.clubsociety.UnionTab-L-1 HTTP/1.1" 200 2053 "http://www.imperialcollegeunion.org/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618)"
155.198.57.23 - - [06/Oct/2009:16:00:40 +0000] "GET /events.xml HTTP/1.1" 200 5128 "-" "Java/1.4.2_14"
129.31.74.33 - - [06/Oct/2009:16:00:40 +0000] "GET /jobs.html HTTP/1.1" 200 10192 "http://www.google.co.uk/search?hl=en&q=imperial+college+union+jobs&meta=" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; MDDC; .NET CLR 3.5.30729; .NET CLR 3.0.30729)"
66.249.71.207 - - [06/Oct/2009:16:00:42 +0000] "GET /events/sin-city,472,EV.html?preference=user-size-medium HTTP/1.1" 302 289 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
129.31.82.53 - - [06/Oct/2009:16:00:43 +0000] "GET /clubs-and-societies/a-to-z HTTP/1.1" 200 41552 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; eSobiSubscriber 2.0.4.16; .NET CLR 3.5.30729; .NET CLR 3.0.30618; InfoPath.2)"
129.31.217.193 - - [06/Oct/2009:16:00:44 +0000] "GET /clubs-and-societies/ HTTP/1.1" 200 12792 "http://www.imperialcollegeunion.com/rcsu-351/rcsu-rcsu-bookshop-1065/product.html" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/3.0.195.24 Safari/532.0"
129.31.217.193 - - [06/Oct/2009:16:00:44 +0000] "GET /clubs-and-societies/ HTTP/1.1" 200 12792 "http://www.imperialcollegeunion.com/rcsu-351/rcsu-rcsu-bookshop-1065/product.html" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/3.0.195.24 Safari/532.0"
155.198.204.158 - - [06/Oct/2009:16:00:44 +0000] "GET /clubs-and-societies/ HTTP/1.1" 200 64822 "http://www.imperial.ac.uk/search/results" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; Imperial College; Imperial College)"
129.31.217.102 - - [06/Oct/2009:16:00:45 +0000] "GET / HTTP/1.1" 200 12792 "http://www.google.co.uk/search?client=firefox-a&rls=org.mozilla%3Aen-GB%3Aofficial&channel=s&hl=en&source=hp&q=imperial+college+union&meta=&btnG=Google+Search" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-GB; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3"
155.198.204.158 - - [06/Oct/2009:16:00:45 +0000] "GET /unions/news.vm?id=com.othermedia.imperial.model.clubsociety.UnionTab-L-6 HTTP/1.1" 200 5370 "http://www.imperialcollegeunion.org/clubs-and-societies/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; Imperial College; Imperial College)"
129.31.217.102 - - [06/Oct/2009:16:00:45 +0000] "GET / HTTP/1.1" 200 37887 "http://www.google.co.uk/search?client=firefox-a&rls=org.mozilla%3Aen-GB%3Aofficial&channel=s&hl=en&source=hp&q=imperial+college+union&meta=&btnG=Google+Search" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-GB; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3"
129.31.68.69 - - [06/Oct/2009:16:00:46 +0000] "GET /login.html?requestedUrl=%2F HTTP/1.1" 200 212 "http://www.imperialcollegeunion.org/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618)"
